precision,recall,f1-score,support
0,0.9713827226531158,0.7950963222416813,0.8744432406404238,4568.0
1,0.2518518518518518,0.723404255319149,0.37362637362637363,47.0
2,0.597254004576659,0.8105590062111802,0.6877470355731226,644.0
3,0.6089385474860335,0.3732876712328767,0.46284501061571126,584.0
4,0.4720670391061452,0.8407960199004975,0.6046511627906976,201.0
5,0.6666666666666666,0.41935483870967744,0.5148514851485149,124.0
6,0.25045871559633026,0.6610169491525424,0.36327345309381237,413.0
7,0.5206611570247934,0.4846153846153846,0.50199203187251,130.0
8,0.0,0.0,0.0,0.0
9,0.5520361990950227,0.9384615384615385,0.6951566951566952,130.0
10,0.2222222222222222,0.028985507246376812,0.05128205128205128,69.0
11,0.5287356321839081,0.46464646464646464,0.4946236559139785,198.0
12,0.48484848484848486,0.1927710843373494,0.27586206896551724,83.0
13,0.7872340425531915,0.4830287206266319,0.598705501618123,383.0
14,0.09340659340659341,0.3269230769230769,0.1452991452991453,52.0
15,0.6379310344827587,0.8043478260869565,0.7115384615384616,46.0
16,0.0,0.0,0.0,7.0
accuracy,0.7076442245083995,0.7076442245083995,0.7076442245083995,0.7076442245083995
macro avg,0.44974675963257515,0.49101733327714026,0.4326998454785375,7679.0
weighted avg,0.7951276564199684,0.7076442245083995,0.7305933725061964,7679.0
